	location_id	location_name
353	29201	Sahatany Valley, Ibity, Antsirabe II, Vakinankaratra, Madagascar
354	4626	Wytheville, Wythe Co., Virginia, USA
355	4627	Granatenkogel south slope, Seeber valley, Moso in Passiria, Passiria Valley, Bolzano-Alto Adige Autonomous Province, Trentino-Alto Adige, Italy
356	4629	Mt Cleveland Mine, Luina, Heazlewood district, Waratah-Wynyard municipality, Tasmania, Australia
357	4630	Gads Hill, Upper Mersey Valley, Meander Valley municipality, Tasmania, Australia
358	4631	Coober Pedy, Central North, South Australia, Australia
359	4632	Laietto, Condove, Susa Valley, Metropolitan City of Turin, Piedmont, Italy
360	4633	Isenwegg, Wasen Alp, Ganter valley, Simplon pass area, Brig, Valais, Switzerland
361	4634	Fuchs Quarry, Hartkoppe, Sailauf, Hösbach, Aschaffenburg, Lower Franconia, Bavaria, Germany
362	4635	Sapo mine, Ferruginha, Conselheiro Pena, Minas Gerais, Brazil
363	541	Wilberforce area, Haliburton Co., Ontario, Canada
364	542	Madawaska Mine, Faraday Township, Hastings Co., Ontario, Canada
