,mineral_id,mineral_name
814,3294,Proustite
815,549,Baryte
816,1248,Delafossite
817,3299,Pseudomalachite
818,3301,Pseudoboleite
819,3302,Pseudobrookite
820,581,Bayldonite
821,3304,Psilomelane
822,3305,Pumpellyite
823,1258,Demantoid
824,1259,Demesmaekerite
825,1261,Denisovite
826,1262,Denningite
827,3311,Purpurite
828,3313,Pyrargyrite
829,3314,Pyrite
830,1267,Descloizite
831,1270,Devilline
832,2088,Jensenite
833,3320,Pyromorphite
834,3321,Pyrope
835,3322,Pyrophanite
836,3323,Pyrophyllite
837,1276,Diaboleite
838,3325,Pyrostilpnite
839,1279,Diadochite
840,3328,Pyrrhotite
841,925,Čechite
842,1282,Diamond
843,1284,Diaphorite
844,1285,Diaspore
845,1287,Dickite
846,3337,Quartz
847,1291,Digenite
848,1292,Dimorphite
849,7437,Cobaltoan Adamite
850,1294,Diopside
851,1295,Dioptase
852,216,Ancylite-(Ce)
853,7443,Melanite
854,1300,Djurleite
855,217,Andalusite
856,1304,Dolomite
857,3353,Rajite
858,3354,Hydrokenoralstonite
859,1583,Fornacite
860,2266,Kovdorskite
861,3358,Ramsbeckite
862,3359,Ramsdellite
863,10800,Unnamed (Basic  Zinc Sulphate Hydrate)
864,3362,Rankamaite
865,4315,Wroewolfeite
866,3974,Tiragalloite
867,1318,Dravite
868,3368,Raspite
869,1321,Drugmanite
870,1323,Dufrénite
871,1325,Duftite
872,1326,Dugganite
873,3375,Realgar
874,3376,Rebulite
875,1329,Dumortierite
876,1330,Dundasite
877,1246,Defernite
878,1681,Germanite
879,11433,Ferriallanite-(Ce)
880,1338,Dypingite
881,1340,Datolite
882,1342,Dyscrasite
883,1345,Earlshannonite
884,7493,Cyrtolite
885,1351,Edenite
886,3591,Schumacherite
887,1353,Edingtonite
888,1354,Edoylerite
889,3405,Rhodizite
890,3406,Rhodochrosite
891,3407,Rhodonite
892,1363,Ecdemite
893,1364,Elbaite
894,1365,Electrum
895,3414,Richelsdorfite
896,3416,Richterite
897,1369,Elpasolite
898,1370,Elpidite
899,1371,Elyite
900,1372,Bromian Chlorargyrite
901,1373,Embreyite
902,3422,Rinkite-(Ce)
903,1375,Emerald
904,1377,Emmonsite
905,1378,Emplectite
906,10811,Zincowoodwardite
907,1380,Enargite
908,1382,Arsenatian Vanadinite
909,1384,Enstatite
910,3433,Rockbridgeite
911,1386,Eosphorite
912,1388,Epididymite
913,9581,K Feldspar
914,1751,Grimselite
915,1391,Epistilbite
916,3441,Romanèchite
917,3443,Roméite Group
918,1396,Ericaite
919,3646,Siderazot
920,1398,Eriochalcite
921,3447,Rosasite
922,3448,Roscherite
923,3988,Todorokite
924,3450,Roselite
925,2055,Isomertieite
926,2282,Ktenasite
927,1407,Erythrite
928,3456,Rose Quartz
929,3458,Rosickýite
930,7555,Goshenite
931,3990,Tolbachite
932,1414,Ettringite
933,1418,Euclase
934,4207,Vonsenite
935,1420,Eudialyte
936,1422,Eugenite
937,3472,Rubellite
938,1425,Euxenite-(Y)
939,3474,Rucklidgeite
940,1428,Evenkite
941,5527,Selenite
942,1432,Eztlite
943,3482,Rutheniridosmine
944,3484,Rutherfordine
945,3485,Rutilated Quartz
946,3486,Rutile
947,6725,Fire Opal
948,7585,Zincian Dolomite
949,3490,Saamite (of Volkova & Melentiev)
950,1443,Fairfieldite
951,1480,Fergusonite-(Y)
952,2630,Melanophlogite
953,1537,Ferruccite
954,241,Annite
955,1071,Clinochrysotile
956,1451,Famatinite
957,7069,Gottlobite
958,584,Bazhenovite
959,1458,Fayalite
960,1459,Axinite-(Fe)
961,3508,Saléeite
962,3509,Salesite
963,1609,Friedelite
964,3512,Samarskite-(Y)
965,9658,Lemanskiite
966,26645,Manganese Dendrites
967,586,Bazzite
968,3521,Sanidine
969,1476,Ferberite
970,3318,Pyrolusite
971,3528,Saponite
972,3529,Sapphire
973,3531,Sapphirine
974,3532,Sarabauite
975,3535,Sarkinite
976,1495,Ferrilotharmeyerite
977,1497,Ferrinatrite
978,3547,Sazykinaite-(Y)
979,1500,Ferristrunzite
980,1401,Erlichmanite
981,2981,Olivenite
982,1504,Ferritungstite
983,391,Asisite
984,3897,Tazheranite
985,593,Bechererite
986,3560,Scheelite
987,3561,Schefferite
988,1514,Columbite-(Fe)
989,1519,Ferro-hornblende
990,3569,Schmiederite
991,3570,Schmitterite
992,3572,Schoderite
993,1525,Pyrosmalite-(Fe)
994,3574,Schoepite
995,3576,Scholzite
996,1529,Ferrostrunzite
997,3578,Schorl
998,3584,Schröckingerite
999,51,Agate
1000,1538,Fersmanite
1001,8107,Manganoan Adamite
1002,3588,Schuilingite-(Nd)
1003,3589,Schulenbergite
1004,3590,Schultenite
1005,1543,Fettelite
1006,7688,Cleavelandite
1007,3594,Scolecite
1008,3595,Scorodite
1009,1548,Filipstadite
1010,3330,Pyroaurite
1011,7212,Eleonorite
1012,1554,Fizélyite
